		Temp	Hi	Low	Out	Dew	Wind	Wind	Wind	Hi	Hi	Wind	Heat	THW	THSW			Rain	Solar	Solar	Hi Solar	UV 	UV 	Hi 	Heat	Cool	In 	In	In 	In 		Wind	Wind	ISS 	Arc.
Date	Time	Out	Temp	Temp	Hum	Pt.	Speed	Dir	Run	Speed	Dir	Chill	Index	Index	Index	Bar  	Rain	Rate	Rad.	Energy	Rad. 	Index	Dose	UV 	D-D 	D-D 	Temp	Hum	Dew	Heat	ET 	Samp	Tx 	Recept	Int.
26/06/12	10:00 p	23.7	23.9	23.6	54	13.9	1.3	SSW	0.80	3.6	SSW	23.7	23.9	23.9	22.4	838.2	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.037	27.7	38	12.1	27.1	0.05	228	1	100.0	10
26/06/12	10:10 p	23.4	23.6	23.3	54	13.6	0.0	SSW	0.00	1.3	SSW	23.4	23.6	23.6	22.1	838.2	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.035	27.6	39	12.4	27.1	0.00	228	1	100.0	10
26/06/12	10:20 p	23.3	23.3	23.3	54	13.5	0.0	S	0.00	0.4	S	23.3	23.4	23.4	21.9	838.3	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.035	27.4	40	12.6	26.9	0.00	228	1	100.0	10
26/06/12	10:30 p	23.3	23.3	23.3	49	12.0	0.9	SE	0.54	2.7	SSE	23.3	23.1	23.1	21.5	838.2	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.035	27.3	40	12.5	26.8	0.00	228	1	100.0	10
26/06/12	10:40 p	23.4	23.4	23.3	47	11.4	0.0	SSE	0.00	1.3	SSE	23.4	23.2	23.2	21.6	838.2	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.035	27.3	40	12.5	26.7	0.00	228	1	100.0	10
26/06/12	10:50 p	23.4	23.4	23.3	46	11.1	0.0	SSE	0.00	0.9	SSE	23.4	23.1	23.1	21.4	838.3	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.035	27.2	39	12.1	26.6	0.00	228	1	100.0	10
26/06/12	11:00 p	23.3	23.3	23.3	46	11.0	0.4	SSE	0.27	1.3	SSE	23.3	22.9	22.9	21.3	838.5	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.034	27.1	39	12.0	26.5	0.03	228	1	100.0	10
26/06/12	11:10 p	23.2	23.3	23.2	48	11.6	0.0	SSE	0.00	1.3	SSE	23.2	22.9	22.9	21.3	838.5	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.034	27.1	39	11.9	26.4	0.00	216	1	94.7	10
26/06/12	11:20 p	23.1	23.2	22.9	47	11.2	0.0	SE	0.00	1.3	ESE	23.1	22.8	22.8	21.2	838.6	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.033	27.0	39	11.9	26.4	0.00	139	1	61.0	10
26/06/12	11:30 p	22.9	22.9	22.8	50	12.0	0.0	SSE	0.00	1.3	SSE	22.9	22.7	22.7	21.1	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.032	26.9	39	11.8	26.3	0.00	228	1	100.0	10
26/06/12	11:40 p	22.7	22.8	22.7	53	12.6	0.9	SE	0.54	3.1	SE	22.7	22.6	22.6	21.1	838.7	0.00	0.0	0	0.00	0	0.9	0.06	0.9	0.000	0.030	26.9	39	11.8	26.3	0.00	228	1	100.0	10
